PARENT NAME,VARIETY NAME,SUB-VARIETY,TAGS,PARENT IMAGE,VARIETY IMAGE
Grapes,Princess,,fruit,grapes.jpeg,
Grapes,Red Flame,,fruit,grapes.jpeg,
Grapes,Red Globe,,fruit,grapes.jpeg,
Grapes,Ribier,,fruit,grapes.jpeg,
Grapes,Ruby Seedless,,fruit,grapes.jpeg,
Grapes,Scarlet Royal,,fruit,grapes.jpeg,
Grapes,Sugarone,,fruit,grapes.jpeg,
Grapes,Summer Royal,,fruit,grapes.jpeg,
Grapes,Thompson Seedless,,fruit,grapes.jpeg,
Grapes,Vintage Red,,fruit,grapes.jpeg,
Green Beans,Chinese Long Beans,,"vegetable, asian",greenbeans_standard.jpeg,
Green Beans,Standard,,vegetable,greenbeans_standard.jpeg,greenbeans_standard.jpeg
Green Beans,Haricot Verts,,vegetable,greenbeans_standard.jpeg,
Green Beans,Purple,,vegetable,greenbeans_standard.jpeg,
Green Beans,Romano,,vegetable,greenbeans_standard.jpeg,
Green Beans,Soy,,vegetable,greenbeans_standard.jpeg,
Green Beans,Yellow,,vegetable,greenbeans_standard.jpeg,
Greens,Black Nightshade,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Broccoli,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Caper,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Celtuce,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Charlock,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Chaya,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Collard,,"vegetable, leaf greens",greens_collard.jpeg,greens_collard.jpeg
Greens,Dandelion,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Fennel,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Lamb's Quarters,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Lovage,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Mache,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Mizuna,,"vegetable, leaf greens, asian",greens_collard.jpeg,
Greens,Mustard,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Pokeweed,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Purslane,,vegetable,greens_collard.jpeg,
Greens,Rampion,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Rhubarb,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Roselle,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Sea Kale,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,"Sorrel, Garden",,"vegetable, leaf greens",greens_collard.jpeg,
Greens,"Sorrel, Wild",,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Thistle,,"vegetable, leaf greens",greens_collard.jpeg,
